name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
west bengal,2004-01-01,21.1,12.2,17.2,21.1,12.2,17.2,13.2,79.1,,0,0,,,,,7.6,301.1,1016.4,0,2.6,,,,,2004-01-01T06:16:31,2004-01-01T17:02:58,0.35,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-02,23.1,12.1,17.9,23.1,12.1,17.9,12.1,72.5,,0,0,,,,,7.6,328,,10,2.1,,,,,2004-01-02T06:16:50,2004-01-02T17:03:36,0.39,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-03,22.1,13,19.2,22.1,13,19.2,13.6,71.7,,0,0,,,,,5.4,322,,16.7,2.2,,,,,2004-01-03T06:17:07,2004-01-03T17:04:15,0.43,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-04,18.1,12.1,15.7,18.1,12.1,15.7,11.7,78.2,,0,0,,,,,7.6,322.5,,28,2.2,,,,,2004-01-04T06:17:24,2004-01-04T17:04:54,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-01-05,15.1,12.1,13.5,15.1,12.1,13.5,10.6,83,,0,0,,,,,7.6,335.7,,45,2.5,,,,,2004-01-05T06:17:39,2004-01-05T17:05:34,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-01-06,20.1,16.1,18.3,20.1,16.1,18.3,13.4,73.7,,0,0,,,,,0,,,46.7,3.3,,,,,2004-01-06T06:17:53,2004-01-06T17:06:14,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-01-07,24.1,10.1,18.2,24.1,10.1,18.2,13.8,77.5,,0,0,,,,,7.6,300,,6.7,1.6,,,,,2004-01-07T06:18:06,2004-01-07T17:06:54,0.5,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-08,25.1,13,21.1,25.1,13,21.1,12.4,60.3,,0,0,,,,,7.6,301.4,,0,2.7,,,,,2004-01-08T06:18:17,2004-01-08T17:07:35,0.51,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-09,24.1,14.1,19.3,24.1,14.1,19.3,10.9,60.8,,0,0,,,,,9.4,323,,0,2.6,,,,,2004-01-09T06:18:27,2004-01-09T17:08:16,0.52,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-10,29.1,17.1,22,27.7,17.1,21.9,9.7,48.2,,0,0,,,,,9.4,316.3,,12,2.6,,,,,2004-01-10T06:18:36,2004-01-10T17:08:58,0.54,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-11,27.1,14.1,21.7,27,14.1,21.7,13,59.9,,0,0,,,,,7.6,306.7,,0,2.6,,,,,2004-01-11T06:18:43,2004-01-11T17:09:39,0.57,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-12,26.1,14.1,20.7,26.1,14.1,20.7,13.5,67,,0,0,,,,,7.6,300,,0,1.9,,,,,2004-01-12T06:18:49,2004-01-12T17:10:21,0.62,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-13,27.1,14.1,21.2,27,14.1,21.2,12.9,62.6,,0,0,,,,,0,,,0,1.2,,,,,2004-01-13T06:18:54,2004-01-13T17:11:04,0.66,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-14,28.1,22.1,26.4,27.5,22.1,26.3,13.6,46,,0,0,,,,,7.6,220,,15,2.8,,,,,2004-01-14T06:18:57,2004-01-14T17:11:46,0.72,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-15,29.1,20.1,25,28.9,20.1,25,16.2,60,,0,0,,,,,11.2,206.7,,0,2,,,,,2004-01-15T06:18:59,2004-01-15T17:12:28,0.77,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-16,26.1,19.1,23.6,26.1,19.1,23.6,19.1,76.1,,0,0,,,,,0,,,32.5,1.8,,,,,2004-01-16T06:19:00,2004-01-16T17:13:11,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-01-17,26.1,19.1,23.8,26.1,19.1,23.8,14.5,57.9,,0,0,,,,,7.6,327.1,,10,2.4,,,,,2004-01-17T06:18:59,2004-01-17T17:13:53,0.88,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-18,27.1,23.1,26,27.7,23.1,26.2,17.1,59.1,,0,0,,,,,0,,,0,2.8,,,,,2004-01-18T06:18:57,2004-01-18T17:14:36,0.93,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-19,30.1,20.1,26.4,32,20.1,27.3,19.3,66.9,,0,0,,,,,5.4,282.5,,27.8,2.9,,,,,2004-01-19T06:18:53,2004-01-19T17:15:18,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-01-20,28.1,21.1,25.4,28.9,21.1,25.7,17.1,61.3,,0,0,,,,,5.4,318,,0,2.2,,,,,2004-01-20T06:18:48,2004-01-20T17:16:00,0.99,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-21,27.1,19.1,22.4,28.3,19.1,22.6,17.9,76.6,,0,0,,,,,5.4,40,,10,1.3,,,,,2004-01-21T06:18:42,2004-01-21T17:16:43,1,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-22,28.1,21.1,25.1,29.7,21.1,25.9,20.6,77.3,,0,0,,,,,0,,,30,2.7,,,,,2004-01-22T06:18:34,2004-01-22T17:17:25,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-01-23,29.1,19.1,26.1,30.9,19.1,26.9,19.7,68.7,,0,0,,,,,5.4,206.7,,57.8,3.7,,,,,2004-01-23T06:18:25,2004-01-23T17:18:07,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-01-24,26.1,20.1,22.3,26.1,20.1,22.3,19.1,82.6,,0,0,,,,,7.6,262.5,,56.7,1.7,,,,,2004-01-24T06:18:14,2004-01-24T17:18:49,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-01-25,25.1,18.1,21.7,25.1,18.1,21.7,15,67.5,,0,0,,,,,9.4,315.6,,31.9,3.7,,,,,2004-01-25T06:18:03,2004-01-25T17:19:30,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,42809099999
west bengal,2004-01-26,23.1,16.1,20,23.1,16.1,20,12.5,63.8,,0,0,,,,,7.6,333.3,,53.5,3.5,,,,,2004-01-26T06:17:49,2004-01-26T17:20:12,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-01-27,24.1,13,20.9,24.1,13,20.9,11.9,57.3,,0,0,,,,,9.4,330,,12.7,3.3,,,,,2004-01-27T06:17:35,2004-01-27T17:20:53,0.17,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-28,24.1,16.1,21.5,24.1,16.1,21.5,12.5,58.6,,0,0,,,,,11.2,330,,3,3,,,,,2004-01-28T06:17:19,2004-01-28T17:21:34,0.21,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-29,25.1,13,21.2,25.1,13,21.2,10.4,51.7,,0,0,,,,,11.2,323.8,,2.7,3.6,,,,,2004-01-29T06:17:02,2004-01-29T17:22:15,0.26,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-01-30,27.1,15.1,22.2,26.9,15.1,22.1,12.5,58.1,,0,0,,,,,7.6,310,,20.6,2.7,,,,,2004-01-30T06:16:43,2004-01-30T17:22:55,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-01-31,28.1,17.1,23.6,27.9,17.1,23.6,14.5,58.7,,0,0,,,,,5.4,92.5,,46.4,2.4,,,,,2004-01-31T06:16:23,2004-01-31T17:23:35,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,42809099999
west bengal,2004-02-01,28.1,20.1,24.5,28.9,20.1,24.7,18,68.2,,0,0,,,,,9.4,280,,72.9,2.4,,,,,2004-02-01T06:16:02,2004-02-01T17:24:14,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-02-02,27.1,19.1,23,27,19.1,23,15.1,62.9,,0,0,,,,,11.2,336.9,,18,2.7,,,,,2004-02-02T06:15:39,2004-02-02T17:24:54,0.43,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-03,24.1,17.1,20.8,24.1,17.1,20.8,10.7,54,,0,0,,,,,11.2,320,,37.3,4,,,,,2004-02-03T06:15:16,2004-02-03T17:25:33,0.46,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,42809099999
west bengal,2004-02-04,25.1,15.1,21.2,25.1,15.1,21.2,10.5,52.7,,0,0,,,,,7.6,250,,0,3.5,,,,,2004-02-04T06:14:51,2004-02-04T17:26:11,0.48,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-05,27.1,15.1,22.1,26.4,15.1,22.1,9.7,50,,0,0,,,,,9.4,297.1,,0,3.1,,,,,2004-02-05T06:14:24,2004-02-05T17:26:49,0.5,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-06,24.1,18.1,20.9,24.1,18.1,20.9,14.3,67.4,,0,0,,,,,11.2,125,,54.4,2.1,,,,,2004-02-06T06:13:57,2004-02-06T17:27:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-02-07,26.1,16.1,21.4,26.1,16.1,21.4,15.3,70.5,,0,0,,,,,9.4,335,,44.7,2,,,,,2004-02-07T06:13:28,2004-02-07T17:28:04,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2004-02-08,26.1,16.1,20.9,26.1,16.1,20.9,11.4,57.3,,0,0,,,,,9.4,330,,3.2,2.4,,,,,2004-02-08T06:12:58,2004-02-08T17:28:41,0.53,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-09,27.1,17.1,21.6,27,17.1,21.6,12.7,59.1,,0,0,,,,,13,328,,0,2.4,,,,,2004-02-09T06:12:27,2004-02-09T17:29:17,0.55,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-10,29.1,17.1,22.6,28.6,17.1,22.6,15,64.7,,0,0,,,,,9.4,274,,0,2.4,,,,,2004-02-10T06:11:55,2004-02-10T17:29:53,0.6,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-11,30.1,17.1,23.6,29.8,17.1,23.5,16.1,66.7,,0,0,,,,,5.4,185,,0,2.3,,,,,2004-02-11T06:11:22,2004-02-11T17:30:28,0.64,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-12,31.1,18.1,23.9,29.7,18.1,23.7,14.3,59.5,,0,0,,,,,13,296.7,,0,2,,,,,2004-02-12T06:10:47,2004-02-12T17:31:03,0.69,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-13,30.1,18.1,23.1,29,18.1,22.8,14.1,61.2,,0,0,,,,,9.4,312.2,,0,2.3,,,,,2004-02-13T06:10:12,2004-02-13T17:31:37,0.75,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-14,31.1,18.1,24.3,30.4,18.1,24,15.6,62.7,,0,0,,,,,5.4,293.3,,0,2.4,,,,,2004-02-14T06:09:35,2004-02-14T17:32:11,0.81,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-15,30.1,19.1,23.1,29.2,19.1,23.1,16.7,70.2,,0,0,,,,,9.4,240,,0,1.8,,,,,2004-02-15T06:08:58,2004-02-15T17:32:45,0.86,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-16,30.1,18.1,24.4,29.8,18.1,24.2,15.2,59.3,,0,0,,,,,9.4,157,,0,1.9,,,,,2004-02-16T06:08:19,2004-02-16T17:33:18,0.91,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-17,30.1,19.1,24.7,29.5,19.1,24.4,15.2,59.4,,0,0,,,,,11.2,205.7,,0,2.2,,,,,2004-02-17T06:07:40,2004-02-17T17:33:50,0.95,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-18,31.1,18.1,24.5,30.4,18.1,24.2,15,59.2,,0,0,,,,,9.4,15,,0,2,,,,,2004-02-18T06:06:59,2004-02-18T17:34:22,0.98,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-19,31.1,19.1,25.9,32.5,19.1,26.3,18.7,67.2,,0,0,,,,,9.4,178.6,,7.8,2.4,,,,,2004-02-19T06:06:18,2004-02-19T17:34:54,1,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-20,32.1,23.1,27.2,31.9,23.1,27.2,17.4,57.9,,0,0,,,,,14.8,231.2,,13,2.5,,,,,2004-02-20T06:05:35,2004-02-20T17:35:25,0,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-21,31.1,20.1,25.2,30.4,20.1,25.1,17.1,64.6,,0,0,,,,,11.2,257.1,,0,1.9,,,,,2004-02-21T06:04:52,2004-02-21T17:35:56,0.01,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-22,31.1,20.1,25.2,31.5,20.1,25.2,16.7,63.1,,0,0,,,,,7.6,276.7,,0,1.8,,,,,2004-02-22T06:04:08,2004-02-22T17:36:26,0.03,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2004-02-23,32.1,20.1,27.1,30.4,20.1,26.6,14.2,49.5,,0,0,,,,,11.2,304,,3.1,2.1,,,,,2004-02-23T06:03:23,2004-02-23T17:36:56,0.05,Clear,Clear conditions throughout the day.,clear-day,42809099999
