name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
west bengal,2006-01-01,25.1,11.1,18.1,25.1,11.1,18.1,11.2,67.1,,0,0,,,,,13,,,7.6,1.9,,,,,2006-01-01T06:16:40,2006-01-01T17:03:17,0.01,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2006-01-02,26.1,16.1,21.9,26.1,16.1,21.9,12.1,56.5,,0,0,,,,,11.2,,,48.3,2.4,,,,,2006-01-02T06:16:58,2006-01-02T17:03:55,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2006-01-03,26.1,13,18,26.1,13,18,12.4,73,,0,0,,,,,9.4,,,58.7,1.5,,,,,2006-01-03T06:17:15,2006-01-03T17:04:34,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2006-01-04,26.1,14.1,18.6,26.1,14.1,18.6,12.5,72.2,,0,0,,,,,14.8,,,51.8,1.5,,,,,2006-01-04T06:17:31,2006-01-04T17:05:13,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2006-01-05,25.1,13,18.6,25.1,13,18.6,11.9,68.8,,0,0,,,,,16.6,,,60.8,1.6,,,,,2006-01-05T06:17:46,2006-01-05T17:05:53,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2006-01-06,24.1,12.1,17.1,24.1,12.1,17.1,10.6,68.5,,0,0,,,,,13,,,39.2,1.6,,,,,2006-01-06T06:17:59,2006-01-06T17:06:34,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2006-01-07,22.1,10.1,16,22.1,10.1,16,11.6,77.7,,0,0,,,,,13,,,49.1,1.3,,,,,2006-01-07T06:18:11,2006-01-07T17:07:14,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2006-01-08,24.1,13,17.6,24.1,13,17.6,12.2,73.4,,0,0,,,,,13,,,42.1,1.3,,,,,2006-01-08T06:18:22,2006-01-08T17:07:55,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2006-01-09,23.1,13,16.6,23.1,13,16.6,11.3,74.1,,0,0,,,,,16.6,,,12.7,1.3,,,,,2006-01-09T06:18:31,2006-01-09T17:08:37,0.39,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2006-01-10,23.1,10.1,15.7,23.1,10.1,15.7,10,73,,0,0,,,,,13,,,0,1.1,,,,,2006-01-10T06:18:39,2006-01-10T17:09:18,0.43,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2006-01-11,24.1,9.1,16.4,24.1,9.1,16.4,9.6,69.5,,0,0,,,,,13,,,0,1.3,,,,,2006-01-11T06:18:46,2006-01-11T17:10:00,0.46,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2006-01-12,25.1,9.1,16.4,25.1,9.1,16.4,10.4,72.9,,0,0,,,,,7.6,,,0,0.9,,,,,2006-01-12T06:18:51,2006-01-12T17:10:42,0.48,Clear,Clear conditions throughout the day.,fog,42809099999
west bengal,2006-01-13,25.1,11.1,17.3,25.1,11.1,17.3,12.7,78.1,,0,0,,,,,7.6,,,0,0.9,,,,,2006-01-13T06:18:55,2006-01-13T17:11:24,0.5,Clear,Clear conditions throughout the day.,fog,42809099999
west bengal,2006-01-14,25.1,13,18.5,25.1,13,18.5,15.7,85,,0,0,,,,,9.4,,,2.5,1,,,,,2006-01-14T06:18:58,2006-01-14T17:12:07,0.5,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2006-01-15,27.1,12.1,19,26.7,12.1,18.9,13.1,73.7,,0,0,,,,,11.2,,,0,1.1,,,,,2006-01-15T06:18:59,2006-01-15T17:12:49,0.51,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2006-01-16,27.1,12.1,19,26.5,12.1,18.9,12.8,72.9,,0,0,,,,,11.2,,,0,1.3,,,,,2006-01-16T06:18:59,2006-01-16T17:13:32,0.52,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2006-01-17,28.1,12.1,19.6,29.3,12.1,19.7,15.1,78,,0,0,,,,,7.6,,,0,1,,,,,2006-01-17T06:18:57,2006-01-17T17:14:14,0.54,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2006-01-18,31.1,15.1,22.7,31.5,15.1,22.8,15.5,67.2,,0,0,,,,,14.8,,,0,1.6,,,,,2006-01-18T06:18:54,2006-01-18T17:14:57,0.57,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2006-01-19,30.1,17.1,22.5,29.2,17.1,22.4,15.2,67.2,,0,0,,,,,14.8,,,0,1.7,,,,,2006-01-19T06:18:50,2006-01-19T17:15:39,0.61,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2006-01-20,27.1,16.1,21.2,27,16.1,21.2,13.9,66.1,,0,0,,,,,14.8,,,0,1.7,,,,,2006-01-20T06:18:44,2006-01-20T17:16:21,0.65,Clear,Clear conditions throughout the day.,clear-day,42809099999
