name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
west bengal,2008-01-01,24.1,11.1,17.9,24.1,11.1,17.9,8.6,59.1,,0,0,,,,,9.4,307.7,1014.8,0,2.1,,,,,2008-01-01T06:16:31,2008-01-01T17:02:59,0.81,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-02,25.1,11.1,16,25.1,11.1,16,11.6,77.2,,0,0,,,,,11.2,261.7,,28.6,2,,,,,2008-01-02T06:16:49,2008-01-02T17:03:37,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2008-01-03,26.1,12.1,18.3,26.1,12.1,18.3,13.9,77.7,,0,0,,,,,13,322.7,,14.3,2.1,,,,,2008-01-03T06:17:07,2008-01-03T17:04:15,0.9,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-04,27.1,13,19.1,27.3,13,19.1,14.2,76.5,,0,0,,,,,9.4,137.8,,0,1.8,,,,,2008-01-04T06:17:24,2008-01-04T17:04:55,0.93,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-05,26.1,14.1,19.3,26.1,14.1,19.3,13.5,72.6,,0,0,,,,,11.2,246.4,,0,2.1,,,,,2008-01-05T06:17:39,2008-01-05T17:05:34,0.96,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-06,26.1,13,18.1,26.1,13,18.1,10.7,67.2,,0,0,,,,,13,255,,0,2.3,,,,,2008-01-06T06:17:53,2008-01-06T17:06:14,0.99,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-07,27.1,12.1,18,26.4,12.1,18,10.1,65,,0,0,,,,,11.2,203.3,,0,2,,,,,2008-01-07T06:18:05,2008-01-07T17:06:55,1,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-08,27.1,12.1,18.1,26.7,12.1,18.1,11.8,69.9,,0,0,,,,,11.2,305,,1.4,1.8,,,,,2008-01-08T06:18:17,2008-01-08T17:07:36,0,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-09,27.1,13,19,26.7,13,19,13,71.8,,0,0,,,,,9.4,268.3,,5.2,1.6,,,,,2008-01-09T06:18:27,2008-01-09T17:08:17,0.01,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-10,28.1,14.1,21,27.4,14.1,20.8,12.9,64.4,,0,0,,,,,7.6,276.7,,6.2,1.8,,,,,2008-01-10T06:18:35,2008-01-10T17:08:58,0.02,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-11,30.1,15.1,21.1,28.9,15.1,21,14,67.9,,0,0,,,,,11.2,308.6,,0,2.2,,,,,2008-01-11T06:18:43,2008-01-11T17:09:40,0.05,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-12,28.1,14.1,20.3,27.3,14.1,20.2,13.6,69.3,,0,0,,,,,11.2,307.1,,0,2.1,,,,,2008-01-12T06:18:49,2008-01-12T17:10:22,0.08,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-13,25.1,15.1,19.8,25.1,15.1,19.8,10.4,59.3,,0,0,,,,,11.2,326.9,,1.3,2.9,,,,,2008-01-13T06:18:53,2008-01-13T17:11:04,0.13,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-14,25.1,12.1,18.1,25.1,12.1,18.1,10.1,63.4,,0,0,,,,,9.4,277.1,,0,2.5,,,,,2008-01-14T06:18:57,2008-01-14T17:11:47,0.18,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-15,27.1,12.1,18.3,26.2,12.1,18.3,9.7,63,,0,0,,,,,14.8,296.3,,0,2.5,,,,,2008-01-15T06:18:59,2008-01-15T17:12:29,0.23,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-16,27.1,11.1,18.2,26.4,11.1,18.1,10.4,65.1,,0,0,,,,,9.4,234,,5.2,2.1,,,,,2008-01-16T06:18:59,2008-01-16T17:13:11,0.28,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-17,26.1,12.1,18.3,26.1,12.1,18.3,11.8,69.3,,0,0,,,,,9.4,260,,0,2,,,,,2008-01-17T06:18:58,2008-01-17T17:13:54,0.35,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-18,27.1,13,20.4,26.9,13,20.3,12.9,66.1,,0,0,,,,,9.4,275,,0,1.8,,,,,2008-01-18T06:18:56,2008-01-18T17:14:36,0.4,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-19,29.1,15.1,21.9,30.4,15.1,22.1,16.2,72.5,,0,0,,,,,13,157.5,,13.8,2.3,,,,,2008-01-19T06:18:52,2008-01-19T17:15:19,0.44,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-20,30.1,20.1,24.6,30.9,20.1,24.9,19.1,73.5,,0,0,,,,,11.2,175.5,,29.1,2.5,,,,,2008-01-20T06:18:47,2008-01-20T17:16:01,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2008-01-21,26.1,17.1,22.7,26.1,17.1,22.7,16.3,69.2,,0,0,,,,,14.8,193.3,,43.5,1.9,,,,,2008-01-21T06:18:41,2008-01-21T17:16:43,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2008-01-22,26.1,14.1,19.6,26.1,14.1,19.6,12.7,68.4,,0,0,,,,,9.4,41.7,,0,2.3,,,,,2008-01-22T06:18:33,2008-01-22T17:17:26,0.5,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-23,24.1,14.1,18.6,24.1,14.1,18.6,11,63.4,,0,0,,,,,13,105.8,,19.6,2.6,,,,,2008-01-23T06:18:24,2008-01-23T17:18:08,0.51,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-24,21.1,14.1,17.5,21.1,14.1,17.5,13.5,78,,0,0,,,,,11.2,133.8,,48.3,2.6,,,,,2008-01-24T06:18:13,2008-01-24T17:18:50,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2008-01-25,17.1,16.1,16.4,17.1,16.1,16.4,15.3,93.3,,0,0,,,,,9.4,197.7,,85.7,1.3,,,,,2008-01-25T06:18:01,2008-01-25T17:19:31,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2008-01-26,18.1,15.1,16.8,18.1,15.1,16.8,15.8,93.9,,0,0,,,,,11.2,64,,88.8,1.7,,,,,2008-01-26T06:17:48,2008-01-26T17:20:13,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2008-01-27,22.1,15.1,18.1,22.1,15.1,18.1,15.1,83.1,,0,0,,,,,11.2,318.8,,45.9,2.3,,,,,2008-01-27T06:17:34,2008-01-27T17:20:54,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2008-01-28,25.1,11.1,17.3,25.1,11.1,17.3,10.8,69.6,,0,0,,,,,13,300,,1.6,2.1,,,,,2008-01-28T06:17:18,2008-01-28T17:21:35,0.67,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-29,25.1,10.1,17.1,25.1,10.1,17.1,11.1,71.7,,0,0,,,,,7.6,105,,2.2,1.7,,,,,2008-01-29T06:17:00,2008-01-29T17:22:15,0.72,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2008-01-30,25.1,14.1,17.6,25.1,14.1,17.6,14.3,82,,0,0,,,,,14.8,122.8,,53.9,2.1,,,,,2008-01-30T06:16:42,2008-01-30T17:22:56,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
