name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
west bengal,2002-01-31,24.1,14.1,18.5,24.1,14.1,18.5,13.4,75.1,,0,0,,,,,13,310.8,,0,2.6,,,,,2002-01-31T06:16:13,2002-01-31T17:23:54,0.55,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-01,25.1,14.1,20,25.1,14.1,20,13.4,68.7,,0,0,,,,,18.4,314.4,,1.5,2.5,,,,,2002-02-01T06:15:51,2002-02-01T17:24:34,0.59,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-02,25.1,12.1,18.6,25.1,12.1,18.6,13.1,73.9,,0,0,,,,,11.2,284.4,,2.6,1.9,,,,,2002-02-02T06:15:28,2002-02-02T17:25:13,0.64,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-03,26.1,13,19.9,26.1,13,19.9,13.8,71.3,,0,0,,,,,7.6,282.5,,0,1.8,,,,,2002-02-03T06:15:03,2002-02-03T17:25:51,0.69,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-04,26.1,13,19.8,26.1,13,19.8,13.2,70.4,,0,0,,,,,11.2,318.6,,0,1.9,,,,,2002-02-04T06:14:38,2002-02-04T17:26:30,0.75,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-05,27.1,14.1,20,27,14.1,19.9,13.4,69.6,,0,0,,,,,9.4,302.9,,1.5,2.5,,,,,2002-02-05T06:14:11,2002-02-05T17:27:07,0.8,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-06,29.1,13,21.2,28.6,13,21.1,14.1,67.7,,0,0,,,,,7.6,161.7,,0,2.3,,,,,2002-02-06T06:13:43,2002-02-06T17:27:45,0.85,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-07,30.1,17.1,23.4,29.8,17.1,23.4,15.5,64.1,,0,0,,,,,9.4,113.3,,1.5,2.2,,,,,2002-02-07T06:13:14,2002-02-07T17:28:22,0.9,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-08,28.1,19.1,22.9,28.1,19.1,22.9,15.2,63.6,,0,0,,,,,14.8,320,,50.9,1.9,,,,,2002-02-08T06:12:43,2002-02-08T17:28:58,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2002-02-09,29.1,18.1,24.2,28.6,18.1,24.1,14.7,54.6,,0,0,,,,,13,330.8,,25.6,2.4,,,,,2002-02-09T06:12:12,2002-02-09T17:29:34,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2002-02-10,29.1,19.1,23.4,28.6,19.1,23.3,14.5,59.5,,0,0,,,,,14.8,295.6,,33.9,2.4,,,,,2002-02-10T06:11:39,2002-02-10T17:30:10,0.99,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,42809099999
west bengal,2002-02-11,30.1,18.1,24.1,29.5,18.1,23.9,14.7,58.5,,0,0,,,,,14.8,303.3,,31.6,2.8,,,,,2002-02-11T06:11:05,2002-02-11T17:30:45,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2002-02-12,28.1,20.1,24,27.9,20.1,23.9,15.2,59.7,,0,0,,,,,13,320,,60.5,2,,,,,2002-02-12T06:10:30,2002-02-12T17:31:20,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2002-02-13,27.1,18.1,22.4,27.2,18.1,22.4,15.2,65.7,,0,0,,,,,22.3,308.5,,47.4,2.4,,,,,2002-02-13T06:09:54,2002-02-13T17:31:54,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2002-02-14,26.1,17.1,21.4,26.1,17.1,21.4,13.4,62.9,,0,0,,,,,22.3,317.1,,3,2.7,,,,,2002-02-14T06:09:17,2002-02-14T17:32:28,0.02,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-15,26.1,16.1,20.6,26.1,16.1,20.6,13.9,67.2,,0,0,,,,,18.4,302.2,,0,2.3,,,,,2002-02-15T06:08:39,2002-02-15T17:33:01,0.04,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-16,26.1,15.1,20.1,26.1,15.1,20.1,14,70.5,,0,0,,,,,11.2,292.2,,0,2,,,,,2002-02-16T06:08:00,2002-02-16T17:33:34,0.07,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-17,29.1,14.1,21.5,28.6,14.1,21.4,14.2,68.1,,0,0,,,,,13,258.8,,0,2,,,,,2002-02-17T06:07:20,2002-02-17T17:34:06,0.11,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-18,31.1,16.1,23.3,30.4,16.1,23.2,14.5,60.8,,0,0,,,,,7.6,285,,0,1.8,,,,,2002-02-18T06:06:39,2002-02-18T17:34:38,0.15,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-19,31.1,17.1,23.8,29.9,17.1,23.6,14,57,,0,0,,,,,13,295,,0,1.9,,,,,2002-02-19T06:05:57,2002-02-19T17:35:09,0.2,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-20,31.1,17.1,23.5,30.1,17.1,23.3,14.3,59.5,,0,0,,,,,7.6,286.7,,10,1.6,,,,,2002-02-20T06:05:15,2002-02-20T17:35:40,0.25,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-21,31.1,17.1,24.9,31,17.1,24.9,15.6,58.3,,0,0,,,,,14.8,143.3,,19.5,1.8,,,,,2002-02-21T06:04:31,2002-02-21T17:36:10,0.3,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-22,31.1,20.1,25.4,30.4,20.1,25.2,14.7,53.5,,0,0,,,,,18.4,282.3,,8.8,2.5,,,,,2002-02-22T06:03:46,2002-02-22T17:36:40,0.35,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-23,31.1,19.1,24.8,30.4,19.1,24.7,14.8,55.9,,0,0,,,,,14.8,291.4,,0,2.4,,,,,2002-02-23T06:03:01,2002-02-23T17:37:10,0.4,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-24,33.1,19.1,25.8,32.3,19.1,25.7,15,53.4,,0,0,,,,,14.8,141.3,,2.6,2.7,,,,,2002-02-24T06:02:15,2002-02-24T17:37:39,0.44,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-25,31.1,19.1,24.6,30.7,19.1,24.5,15.1,57.2,,0,0,,,,,29.5,265.4,,27.4,2.2,,,,,2002-02-25T06:01:28,2002-02-25T17:38:08,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42809099999
west bengal,2002-02-26,29.1,20.1,23,28.9,20.1,23,14.9,60.9,,0,0,,,,,16.6,287.5,,17.6,2.1,,,,,2002-02-26T06:00:40,2002-02-26T17:38:36,0.49,Clear,Clear conditions throughout the day.,clear-day,42809099999
west bengal,2002-02-27,29.1,19.1,22.9,28.4,19.1,22.8,13.8,58.4,,0,0,,,,,20.5,302.1,,19.6,2,,,,,2002-02-27T05:59:52,2002-02-27T17:39:03,0.5,Clear,Clear conditions throughout the day.,clear-day,42809099999
